Fold,Seed,Tier,Classifier,BP_Noise_mmHg,Missing_Rate_Target,Actual_Missing_Rate,Temp_Bias_Low,Temp_Bias_High,Accuracy,Macro F1,High Risk Recall,Brier Score
3,55,Tier 2 (Moderate),Random Forest,10.0,0.15,0.1634,-1.0,-0.3,0.7192118226600985,0.7195209647084854,0.8333333333333334,0.39494391258308603
3,55,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.1634,-1.0,-0.3,0.6108374384236454,0.582363125774734,0.6481481481481481,0.5267202554634667
3,55,Tier 2 (Moderate),XGBoost,10.0,0.15,0.1634,-1.0,-0.3,0.6945812807881774,0.6927637746351197,0.7592592592592593,0.4605341321940901
3,66,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.1806,-1.0,-0.3,0.5812807881773399,0.5655701754385966,0.5740740740740741,0.5637236228975
3,66,Tier 2 (Moderate),Random Forest,10.0,0.15,0.1806,-1.0,-0.3,0.729064039408867,0.7259863432842518,0.8518518518518519,0.4219120327721853
3,66,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.1806,-1.0,-0.3,0.5862068965517241,0.5603721506473714,0.6851851851851852,0.5293158259144859
3,66,Tier 2 (Moderate),XGBoost,10.0,0.15,0.1806,-1.0,-0.3,0.6995073891625616,0.6992582536744991,0.7592592592592593,0.476772595088517
3,77,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.1642,-1.0,-0.3,0.5665024630541872,0.5529934303401137,0.5925925925925926,0.5565083608908976
3,77,Tier 2 (Moderate),Random Forest,10.0,0.15,0.1642,-1.0,-0.3,0.729064039408867,0.7297494481040627,0.7962962962962963,0.3878909177585442
3,77,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.1642,-1.0,-0.3,0.6157635467980296,0.5870659186810391,0.7037037037037037,0.5400842125385518
3,77,Tier 2 (Moderate),XGBoost,10.0,0.15,0.1642,-1.0,-0.3,0.6748768472906403,0.6720100701949824,0.7962962962962963,0.4672419356893059
3,88,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.179,-1.0,-0.3,0.5960591133004927,0.581850428467062,0.6851851851851852,0.5399777289901824
3,88,Tier 2 (Moderate),Random Forest,10.0,0.15,0.179,-1.0,-0.3,0.6847290640394089,0.6858012921250219,0.8333333333333334,0.4047406211155859
3,88,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.179,-1.0,-0.3,0.6206896551724138,0.5886023834097537,0.7592592592592593,0.4980651446462385
3,88,Tier 2 (Moderate),XGBoost,10.0,0.15,0.179,-1.0,-0.3,0.6847290640394089,0.6906008094017487,0.8148148148148148,0.48621386904148833
3,99,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.156,-1.0,-0.3,0.5566502463054187,0.5461811979648473,0.5185185185185185,0.563719551834285
3,99,Tier 2 (Moderate),Random Forest,10.0,0.15,0.156,-1.0,-0.3,0.6798029556650246,0.6721163548431548,0.7777777777777778,0.3937382969271757
3,99,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.156,-1.0,-0.3,0.6305418719211823,0.6132649639931194,0.6666666666666666,0.515766989908493
3,99,Tier 2 (Moderate),XGBoost,10.0,0.15,0.156,-1.0,-0.3,0.6896551724137931,0.6888589788907922,0.7037037037037037,0.510022272033225
3,111,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.1765,-1.0,-0.3,0.5615763546798029,0.5585535032343544,0.5555555555555556,0.5489006020977655
3,111,Tier 2 (Moderate),Random Forest,10.0,0.15,0.1765,-1.0,-0.3,0.6945812807881774,0.6933133090180935,0.8148148148148148,0.43030794287619306
3,111,Tier 2 (Moderate),Support Vector Machine,10.0,0.15,0.1765,-1.0,-0.3,0.6108374384236454,0.5914732865623313,0.7222222222222222,0.5087036471135066
3,111,Tier 2 (Moderate),XGBoost,10.0,0.15,0.1765,-1.0,-0.3,0.6798029556650246,0.6812430725474204,0.7592592592592593,0.47478289698158477
3,11,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.3136,-1.5,-0.5,0.541871921182266,0.5259335991043308,0.5185185185185185,0.5752135630948639
3,11,Tier 3 (Severe),Random Forest,15.0,0.3,0.3136,-1.5,-0.5,0.5517241379310345,0.5534499234688989,0.7222222222222222,0.5815624365187714
3,11,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.3136,-1.5,-0.5,0.5467980295566502,0.5176520691984609,0.5925925925925926,0.5757036363737225
3,11,Tier 3 (Severe),XGBoost,15.0,0.3,0.3136,-1.5,-0.5,0.5763546798029556,0.5871804773741387,0.7222222222222222,0.6732044958072377
3,22,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.344,-1.5,-0.5,0.5615763546798029,0.5506272401433692,0.5555555555555556,0.5747651522785027
3,22,Tier 3 (Severe),Random Forest,15.0,0.3,0.344,-1.5,-0.5,0.5763546798029556,0.5709534368070953,0.7407407407407407,0.545869506149346
3,22,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.344,-1.5,-0.5,0.5615763546798029,0.5325346565415651,0.6296296296296297,0.5787526545491941
3,22,Tier 3 (Severe),XGBoost,15.0,0.3,0.344,-1.5,-0.5,0.5911330049261084,0.5864593280853444,0.6851851851851852,0.6578214404544073
3,33,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.3333,-1.5,-0.5,0.5172413793103449,0.5052977496665376,0.48148148148148145,0.5863969856526915
3,33,Tier 3 (Severe),Random Forest,15.0,0.3,0.3333,-1.5,-0.5,0.5763546798029556,0.5731451988680231,0.6851851851851852,0.5596218492495627
3,33,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.3333,-1.5,-0.5,0.5221674876847291,0.48680326054917317,0.5740740740740741,0.5927680340799063
3,33,Tier 3 (Severe),XGBoost,15.0,0.3,0.3333,-1.5,-0.5,0.5763546798029556,0.5754982624729371,0.6481481481481481,0.6749103626582421
3,44,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.3268,-1.5,-0.5,0.5221674876847291,0.5005702689892167,0.5,0.6229480511799588
3,44,Tier 3 (Severe),Random Forest,15.0,0.3,0.3268,-1.5,-0.5,0.6157635467980296,0.6214507796943588,0.7222222222222222,0.5015089369422093
3,44,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.3268,-1.5,-0.5,0.5763546798029556,0.5491452991452991,0.6111111111111112,0.5714965120279276
3,44,Tier 3 (Severe),XGBoost,15.0,0.3,0.3268,-1.5,-0.5,0.6354679802955665,0.6374123818568264,0.6666666666666666,0.5743883817495703
3,55,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.3399,-1.5,-0.5,0.5221674876847291,0.5039934524313493,0.42592592592592593,0.5977877393421346
3,55,Tier 3 (Severe),Random Forest,15.0,0.3,0.3399,-1.5,-0.5,0.5812807881773399,0.5772047587060164,0.7037037037037037,0.552642659178631
3,55,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.3399,-1.5,-0.5,0.5763546798029556,0.5524402907580478,0.6111111111111112,0.5595099068714368
3,55,Tier 3 (Severe),XGBoost,15.0,0.3,0.3399,-1.5,-0.5,0.5862068965517241,0.587248537389819,0.6296296296296297,0.6657643106881223
3,66,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.3473,-1.5,-0.5,0.5123152709359606,0.508726984305825,0.5555555555555556,0.6002298116858792
3,66,Tier 3 (Severe),Random Forest,15.0,0.3,0.3473,-1.5,-0.5,0.5812807881773399,0.568874991857208,0.7222222222222222,0.5489053078511694
3,66,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.3473,-1.5,-0.5,0.5270935960591133,0.4950309475124362,0.6111111111111112,0.5801424889820471
3,66,Tier 3 (Severe),XGBoost,15.0,0.3,0.3473,-1.5,-0.5,0.5665024630541872,0.5685693962909556,0.6666666666666666,0.6983575697890991
3,77,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.3514,-1.5,-0.5,0.5369458128078818,0.5211440482545493,0.48148148148148145,0.5849238266981889
3,77,Tier 3 (Severe),Random Forest,15.0,0.3,0.3514,-1.5,-0.5,0.5911330049261084,0.5866587081060683,0.7407407407407407,0.526834703623668
3,77,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.3514,-1.5,-0.5,0.5517241379310345,0.5205354218845853,0.6666666666666666,0.5631782249804343
3,77,Tier 3 (Severe),XGBoost,15.0,0.3,0.3514,-1.5,-0.5,0.5911330049261084,0.5944174523283481,0.7037037037037037,0.6576361882298485
3,88,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.3317,-1.5,-0.5,0.5763546798029556,0.5701202379568268,0.5740740740740741,0.581399810674149
3,88,Tier 3 (Severe),Random Forest,15.0,0.3,0.3317,-1.5,-0.5,0.6206896551724138,0.6164616305791547,0.7407407407407407,0.5056685557206776
3,88,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.3317,-1.5,-0.5,0.5812807881773399,0.5471698113207547,0.6296296296296297,0.5464415363791613
3,88,Tier 3 (Severe),XGBoost,15.0,0.3,0.3317,-1.5,-0.5,0.6206896551724138,0.6171111408916287,0.6851851851851852,0.612199792074498
3,99,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.3259,-1.5,-0.5,0.5024630541871922,0.5018230604760489,0.5185185185185185,0.5925755315275941
3,99,Tier 3 (Severe),Random Forest,15.0,0.3,0.3259,-1.5,-0.5,0.5369458128078818,0.5322409750562244,0.6296296296296297,0.5941244070646056
3,99,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.3259,-1.5,-0.5,0.5369458128078818,0.5091115115771079,0.5925925925925926,0.5900299087106637
3,99,Tier 3 (Severe),XGBoost,15.0,0.3,0.3259,-1.5,-0.5,0.5517241379310345,0.5462775408670931,0.5740740740740741,0.695873303834656
3,111,Tier 3 (Severe),Logistic Regression,15.0,0.3,0.3325,-1.5,-0.5,0.5320197044334976,0.5302165747622473,0.5555555555555556,0.5613265376808689
3,111,Tier 3 (Severe),Random Forest,15.0,0.3,0.3325,-1.5,-0.5,0.625615763546798,0.6251815795752803,0.7962962962962963,0.5292862574031106
3,111,Tier 3 (Severe),Support Vector Machine,15.0,0.3,0.3325,-1.5,-0.5,0.5714285714285714,0.5473395476631723,0.6851851851851852,0.5461821854702316
3,111,Tier 3 (Severe),XGBoost,15.0,0.3,0.3325,-1.5,-0.5,0.5812807881773399,0.5845696608331784,0.6481481481481481,0.6585227965774043
4,N/A,Pristine Baseline,Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.6305418719211823,0.6272359448830037,0.7407407407407407,0.4665924838051533
4,N/A,Pristine Baseline,Random Forest,0.0,0.0,0.0,0.0,0.0,0.8275862068965517,0.8361667172176727,0.8888888888888888,0.25217685586923405
4,N/A,Pristine Baseline,Support Vector Machine,0.0,0.0,0.0,0.0,0.0,0.7389162561576355,0.7395967599262011,0.8703703703703703,0.3944492242113741
4,N/A,Pristine Baseline,XGBoost,0.0,0.0,0.0,0.0,0.0,0.8226600985221675,0.8317025440313112,0.8888888888888888,0.2632941154065637
4,11,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0468,-0.5,-0.1,0.6354679802955665,0.6228662517043921,0.6666666666666666,0.4717733231107923
4,11,Tier 1 (Mild),Random Forest,5.0,0.05,0.0468,-0.5,-0.1,0.8325123152709359,0.8398165804958699,0.9259259259259259,0.28139546494040646
4,11,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0468,-0.5,-0.1,0.729064039408867,0.7294421697191021,0.8148148148148148,0.4047735137183686
4,11,Tier 1 (Mild),XGBoost,5.0,0.05,0.0468,-0.5,-0.1,0.8029556650246306,0.8119896993107627,0.9074074074074074,0.3114246437312442
4,22,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0657,-0.5,-0.1,0.6206896551724138,0.6161815410637448,0.6851851851851852,0.475682594076129
4,22,Tier 1 (Mild),Random Forest,5.0,0.05,0.0657,-0.5,-0.1,0.8078817733990148,0.8149140913173939,0.8888888888888888,0.29561852147919804
4,22,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0657,-0.5,-0.1,0.7093596059113301,0.7055172788281253,0.7962962962962963,0.40407215014679
4,22,Tier 1 (Mild),XGBoost,5.0,0.05,0.0657,-0.5,-0.1,0.7586206896551724,0.7664004516535297,0.8148148148148148,0.3708361678064457
4,33,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0624,-0.5,-0.1,0.6502463054187192,0.6426426896692723,0.6851851851851852,0.4702096207683716
4,33,Tier 1 (Mild),Random Forest,5.0,0.05,0.0624,-0.5,-0.1,0.7881773399014779,0.7951939878396862,0.8333333333333334,0.31835073648754886
4,33,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0624,-0.5,-0.1,0.729064039408867,0.7295634993082687,0.8518518518518519,0.40581002795220106
4,33,Tier 1 (Mild),XGBoost,5.0,0.05,0.0624,-0.5,-0.1,0.7389162561576355,0.7435091513667232,0.7962962962962963,0.3822150136578081
4,44,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0468,-0.5,-0.1,0.6108374384236454,0.6049542610974113,0.7037037037037037,0.4802280047644957
4,44,Tier 1 (Mild),Random Forest,5.0,0.05,0.0468,-0.5,-0.1,0.8177339901477833,0.825319900847486,0.8888888888888888,0.2797593951216996
4,44,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0468,-0.5,-0.1,0.7241379310344828,0.71995280995281,0.8333333333333334,0.4101217252481933
4,44,Tier 1 (Mild),XGBoost,5.0,0.05,0.0468,-0.5,-0.1,0.7832512315270936,0.7904913557779799,0.8333333333333334,0.34294981021278237
4,55,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0567,-0.5,-0.1,0.625615763546798,0.6213985903087231,0.6851851851851852,0.48335423792264914
4,55,Tier 1 (Mild),Random Forest,5.0,0.05,0.0567,-0.5,-0.1,0.7733990147783252,0.7772176405896535,0.8333333333333334,0.3081106857368099
4,55,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0567,-0.5,-0.1,0.6995073891625616,0.6994737684392857,0.8518518518518519,0.43170162417379077
4,55,Tier 1 (Mild),XGBoost,5.0,0.05,0.0567,-0.5,-0.1,0.7241379310344828,0.7306460047201666,0.8148148148148148,0.40687449741721055
4,66,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0616,-0.5,-0.1,0.6108374384236454,0.5995572422517395,0.6111111111111112,0.47747071563704185
4,66,Tier 1 (Mild),Random Forest,5.0,0.05,0.0616,-0.5,-0.1,0.7980295566502463,0.8017170809623639,0.8888888888888888,0.3070860134912941
4,66,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0616,-0.5,-0.1,0.7438423645320197,0.7412619245021479,0.8703703703703703,0.4132732541605589
4,66,Tier 1 (Mild),XGBoost,5.0,0.05,0.0616,-0.5,-0.1,0.7339901477832512,0.7365397410307589,0.7592592592592593,0.401150085269717
4,77,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0517,-0.5,-0.1,0.6157635467980296,0.6098577430102853,0.6666666666666666,0.47954601317417356
4,77,Tier 1 (Mild),Random Forest,5.0,0.05,0.0517,-0.5,-0.1,0.8177339901477833,0.8265897506948469,0.9074074074074074,0.2948921457285003
4,77,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0517,-0.5,-0.1,0.7142857142857143,0.711670976852982,0.8518518518518519,0.416612302946161
4,77,Tier 1 (Mild),XGBoost,5.0,0.05,0.0517,-0.5,-0.1,0.7980295566502463,0.8059375549335389,0.9074074074074074,0.3247717484630756
4,88,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0714,-0.5,-0.1,0.6305418719211823,0.6160147818787772,0.7037037037037037,0.475976737237655
